ID_Produto;Nome_Produto;Descricao;Custo;Preco;Estoque;ID_Fornecedor
HW0001;"Monitor LED 24""";Monitor LED Full HD 24 polegadas;350;700;50;1
HW0002;Teclado Mecânico RGB;Teclado gamer mecânico com retroiluminação RGB;180;350;120;2
HW0003;Mouse Óptico Sem Fio;Mouse ergonômico sem fio com 1600 DPI;50;100;200;2
SW0001;Sistema Operacional Pro;Licença vitalícia do Sistema Operacional Pro v10;400;800;150;3
HW0004;SSD 500GB NVMe;SSD NVMe de alta velocidade 500GB;250;500;80;4
HW0005;Placa de Vídeo RTX 3060;Placa de vídeo NVIDIA GeForce RTX 3060 12GB;1500;2800;30;4
SW0002;Pacote Office Premium;Assinatura anual do Pacote Office Premium;150;300;300;3
HW0006;"Notebook Ultra Slim 14""";Notebook leve com Intel i5, 8GB RAM, 256GB SSD;2200;4500;40;5
HW0007;Webcam Full HD;Webcam 1080p com microfone embutido;80;160;180;2
SW0003;Antivírus Ultimate;Licença de 1 ano para Antivírus Ultimate (3 dispositivos);70;140;250;9
HW0008;Roteador Wi-Fi 6;Roteador dual-band Wi-Fi 6 AX1800;120;240;90;6
HW0009;Fone de Ouvido Gamer;Headset gamer com som surround 7.1 e microfone retrátil;100;200;110;2
SW0004;Software de Edição de Imagem;Licença perpétua para software profissional de edição de imagem;600;1200;70;7
HW0010;Impressora Multifuncional;Impressora jato de tinta multifuncional com Wi-Fi;300;600;60;8
HW0011;Processador Intel i7;Processador Intel Core i7 de última geração;1200;2300;25;4
SW0005;Ferramenta de Análise de Dados;Assinatura mensal de ferramenta de análise de dados em nuvem;200;400;100;3
HW0012;Memória RAM DDR4 16GB;Módulo de memória RAM DDR4 3200MHz 16GB;280;550;75;4
HW0013;Gabinete Gamer Mid-Tower;Gabinete com lateral de vidro temperado e fans RGB;250;500;55;8
SW0006;Jogo Aventura Épica;"Licença digital para o jogo ""Aventura Épica""";80;160;400;10
HW0014;Placa Mãe B550;Placa mãe AMD B550 com suporte a PCIe 4.0;600;1100;35;4
SW0007;Software de Gestão Financeira;Licença anual para software de gestão financeira pessoal;90;180;180;3
